score	published	tickers
-0.5833333333333333	2022-05-12	ARVL
-0.3142857142857143	2022-05-20	NMTP
-0.3333333333333333	2022-05-24	GAZP
0.7	2022-07-29	GAZP
-0.6111111111111112	2022-07-28	UPRO
-0.03448275862068967	2022-07-29	TGKB
0.6818181818181819	2022-07-28	HYDR
-0.411764705882353	2022-06-28	NOK
-0.7142857142857142	2022-05-17	GAZP
-0.025641025641025605	2022-06-27	LKOH
-0.4666666666666666	2022-06-27	LKOH
-0.19999999999999996	2022-06-27	LKOH
0.375	2022-05-04	PEP
0.8181818181818181	2022-05-19	LKOH
0.22580645161290325	2022-07-27	MGNT
0.19999999999999996	2022-06-22	GAZP
-0.6000000000000001	2022-07-19	AAPL
-0.853658536585366	2022-06-30	XRX
0.19047619047619047	2022-07-26	GAZP
-0.6153846153846154	2022-07-16	JPM
-0.43999999999999995	2022-07-28	MA
-0.7931034482758621	2022-04-19	GAZP
-0.8571428571428572	2022-04-19	GAZP
0.4285714285714286	2022-04-20	GAZP
-0.7435897435897436	2022-04-19	GAZP
-0.8181818181818181	2022-06-22	GAZP
-0.1578947368421053	2022-07-24	GAZP
-0.032258064516129004	2022-07-24	GAZP
-0.9285714285714286	2022-05-11	GAZP
0.21212121212121215	2022-04-26	TWTR
0.11111111111111116	2022-04-28	TCSG
0.5517241379310345	2022-04-28	TCSG
-0.5757575757575757	2022-04-25	AAPL
-0.3333333333333333	2022-07-27	TGKA
0.25	2022-05-07	TWTR
0.36000000000000004	2022-04-29	GAZP
0.3076923076923077	2022-04-29	GAZP
-0.43999999999999995	2022-06-15	AFLT
0.3170731707317073	2022-06-06	AFLT
-0.9259259259259258	2022-06-03	AFLT
0.4090909090909091	2022-03-29	AAPL
-0.3076923076923077	2022-05-26	GAZP
-0.5	2022-07-07	AFLT
0.5609756097560976	2022-07-27	MGNT
0.6875	2022-05-12	AAPL
-0.7297297297297298	2022-05-11	LKOH
0.75	2022-05-25	NVTK
0.5416666666666667	2022-07-05	AAPL
0.5789473684210527	2022-07-05	AAPL
0.631578947368421	2022-05-13	RTKM
-0.8333333333333333	2022-06-14	CBOM
-0.5789473684210527	2022-05-12	GAZP
-0.6875	2022-04-08	ALRS
-0.35294117647058826	2022-05-06	JNJ
-0.6551724137931034	2022-04-07	AFLT
-0.2592592592592593	2022-04-20	SPBE
0.7058823529411764	2022-06-16	SPBE
0.5555555555555556	2022-07-06	SPBE
-0.4482758620689655	2022-04-06	DVEC
-0.31578947368421056	2022-06-16	DVEC
-0.9199999999999999	2022-07-08	GAZP
-0.8333333333333333	2022-07-01	GAZP
0.7209302325581395	2022-07-28	SELG
0.3846153846153846	2022-07-29	VEON-RX
-0.7241379310344827	2022-06-06	RTKM
-0.39999999999999997	2022-05-11	GAZP
0.5384615384615385	2022-04-12	ACN
-0.6153846153846154	2022-07-22	RTKM
0.5675675675675675	2022-06-29	AFLT
-0.03448275862068967	2022-06-15	GAZP
-0.588235294117647	2022-06-16	TWTR
-0.36000000000000004	2022-05-24	AAPL
-0.8378378378378379	2022-06-12	ASTR
0.48571428571428577	2022-07-21	LKOH
0.07317073170731708	2022-03-28	GAZP
-0.7073170731707317	2022-06-07	VKCO
0.6585365853658536	2022-06-29	NOK
-0.5714285714285714	2022-06-18	GAZP
-0.6129032258064515	2022-04-27	AFLT
0.4545454545454546	2022-05-24	GAZP
0.27777777777777773	2022-05-25	GAZP
0.5454545454545454	2022-04-05	GAZP
-0.3333333333333333	2022-05-06	FLOT
0.0	2022-04-29	NVTK
-0.28	2022-04-29	NVTK
-0.41935483870967744	2022-04-29	NVTK
